"filename", "language", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCNotif.html", "HTML", -77, 0, 0, -5, -15, -97
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCPayments.html", "HTML", -94, 0, 0, -1, -7, -102
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCUserManager.html", "HTML", -124, 0, 0, -6, -22, -152
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\buildingAppForm.html", "HTML", -64, 0, 0, -4, -9, -77
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\nav4.html", "HTML", -83, 0, 0, -7, -4, -94
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\nav4.js", "JavaScript", 0, -8, 0, 0, 0, -8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\sampleForm.html", "HTML", -116, 0, 0, 0, -6, -122
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\adminIndex.html", "HTML", -49, 0, 0, 0, -10, -59
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\adminLogin.html", "HTML", -42, 0, 0, -1, -5, -48
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\adminNav.html", "HTML", -59, 0, 0, -5, -2, -66
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\adminNav.js", "JavaScript", 0, -8, 0, 0, 0, -8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\printFunction.html", "HTML", -40, 0, 0, -5, -8, -53
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\qrPrototype.html", "HTML", -65, 0, 0, -3, -9, -77
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\applicationproto.html", "HTML", 273, 0, 0, 12, 31, 316
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientApplication.html", "HTML", 260, 0, 0, 12, 55, 327
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientBuildingPermit.html", "HTML", 1335, 0, 0, 25, 243, 1603
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientDashboard.html", "HTML", 469, 0, 0, 17, 88, 574
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientElectricalApplication.html", "HTML", 735, 0, 0, 15, 106, 856
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientHousingApplication.html", "HTML", 1420, 0, 0, 16, 256, 1692
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientLogin.html", "HTML", 214, 0, 0, 1, 29, 244
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientNotif.html", "HTML", 219, 0, 0, 10, 40, 269
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientOccupancyApplication.html", "HTML", 865, 0, 0, 16, 135, 1016
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientProfile.html", "HTML", 108, 0, 0, 2, 18, 128
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientRequirements.html", "HTML", 568, 0, 0, 12, 62, 642
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientSignup.html", "HTML", 542, 0, 0, 9, 93, 644
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav2.html", "HTML", 51, 0, 0, 5, 7, 63
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav2.js", "JavaScript", 0, 8, 0, 0, 0, 8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav3.html", "HTML", 42, 0, 0, 5, 5, 52
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav3.js", "JavaScript", 0, 8, 0, 0, 0, 8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\navBarScript.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\profileBackup.html", "HTML", 201, 0, 0, 2, 19, 222
"Total", "-", -547, -126, -13, -68, -154, -908
